total_bill,tip,sex,smoker,day,time,size
14.83,2.5,Female,No,Fri,Lunch,2
20.45,3.5,Female,No,Fri,Dinner,3
25.56,4.0,Male,Yes,Fri,Dinner,4
22.74,4.5,Male,No,Fri,Dinner,3
20.9,3.5,Female,Yes,Fri,Dinner,3
32.98,4.0,Male,Yes,Fri,Dinner,3
20.68,3.5,Male,Yes,Fri,Dinner,3
27.9,3.0,Male,No,Fri,Dinner,3
31.18,3.5,Male,No,Fri,Dinner,2
25.89,3.0,Male,Yes,Fri,Dinner,4
18.78,3.0,Female,No,Fri,Dinner,2
24.06,4.0,Male,No,Fri,Dinner,3
20.63,2.0,Female,No,Fri,Dinner,2
26.41,3.5,Female,No,Sat,Dinner,3
19.59,3.0,Female,No,Sat,Dinner,2
22.07,2.5,Female,No,Sat,Dinner,3
15.69,2.0,Female,Yes,Sat,Dinner,2
22.21,3.0,Male,Yes,Sat,Dinner,3
21.01,2.5,Male,Yes,Sat,Dinner,3
19.6,2.0,Female,Yes,Sat,Dinner,2
24.41,5.0,Male,No,Sat,Dinner,4
19.08,2.0,Male,No,Sat,Dinner,3
17.58,2.5,Male,Yes,Sat,Dinner,2
23.7,4.0,Male,No,Sat,Dinner,3
19.56,2.0,Male,Yes,Sat,Dinner,3
28.7,3.0,Male,No,Sat,Dinner,3
23.33,4.0,Female,No,Sat,Dinner,2
19.62,2.5,Male,Yes,Sat,Dinner,2
24.3,4.0,Female,No,Sat,Dinner,3
17.07,3.0,Female,No,Sat,Dinner,3
16.28,2.5,Female,No,Sat,Dinner,2
15.69,2.0,Male,Yes,Sat,Dinner,2
24.48,4.0,Male,No,Sat,Dinner,3
17.82,2.5,Male,No,Sat,Dinner,2
17.3,2.0,Male,No,Sat,Dinner,2
19.98,2.5,Male,No,Thur,Lunch,2
24.34,3.0,Male,No,Thur,Lunch,3
19.51,2.0,Male,No,Thur,Lunch,2
19.81,3.0,Female,No,Thur,Lunch,2
19.43,2.0,Male,No,Thur,Lunch,2
22.13,2.5,Male,No,Thur,Lunch,2
16.29,2.0,Female,No,Thur,Lunch,2
17.06,2.5,Male,No,Thur,Lunch,2
26.92,3.0,Male,No,Thur,Lunch,3
25.83,4.0,Female,No,Thur,Lunch,3
24.3,4.0,Female,No,Thur,Lunch,3
32.83,5.0,Female,No,Thur,Lunch,3
36.03,5.0,Female,No,Thur,Lunch,3
19.15,1.5,Male,No,Thur,Lunch,2
17.07,2.5,Male,No,Thur,Lunch,3
21.44,4.0,Male,Yes,Fri,Dinner,3
23.41,3.5,Male,Yes,Fri,Dinner,2
18.7,4.0,Female,No,Sat,Dinner,3
15.9,2.0,Female,No,Fri,Dinner,3
28.62,4.0,Female,No,Sat,Dinner,4
23.97,4.0,Male,No,Sat,Dinner,3
20.32,2.0,Female,No,Sat,Dinner,3
14.7,2.0,Female,No,Sat,Dinner,2
13.48,2.0,Female,No,Sat,Dinner,2
30.52,4.0,Female,No,Sat,Dinner,3
19.45,2.0,Female,No,Sat,Dinner,3
13.14,2.5,Female,No,Sat,Dinner,2
20.55,3.0,Female,No,Sat,Dinner,3
17.83,2.0,Male,No,Sat,Dinner,2
23.73,4.0,Male,No,Sat,Dinner,2
16.58,2.5,Male,No,Sat,Dinner,2
19.46,3.0,Female,No,Sat,Dinner,3
21.96,3.0,Female,Yes,Sat,Dinner,3
19.21,3.0,Male,No,Sat,Dinner,2
19.52,2.5,Female,No,Sat,Dinner,2
17.14,2.0,Female,No,Sat,Dinner,2
22.64,2.0,Male,No,Sat,Dinner,3
21.16,3.0,Male,No,Sat,Dinner,2
19.96,3.5,Male,No,Sat,Dinner,3
19.8,2.0,Male,No,Thur,Lunch,3
20.09,2.0,Female,No,Thur,Lunch,3
25.56,4.0,Female,No,Thur,Lunch,3
17.68,3.0,Male,No,Thur,Lunch,2
27.2,4.0,Male,No,Thur,Lunch,4
20.83,4.0,Female,No,Thur,Lunch,3
22.43,4.0,Female,No,Thur,Lunch,3
27.0,3.5,Male,No,Thur,Lunch,3
22.46,3.5,Female,No,Thur,Lunch,3
23.73,3.5,Male,No,Thur,Lunch,3
16.77,3.0,Female,No,Thur,Lunch,2
18.85,2.5,Male,No,Thur,Lunch,2
18.66,2.0,Female,No,Thur,Lunch,2
15.98,2.0,Female,No,Thur,Lunch,2
15.32,2.0,Female,No,Fri,Lunch,2
18.81,3.0,Female,No,Fri,Lunch,2
13.16,2.0,Female,No,Fri,Lunch,2
17.6,4.0,Female,No,Fri,Lunch,2
22.65,3.5,Male,No,Fri,Lunch,2
19.88,2.0,Male,No,Fri,Lunch,2
19.35,2.5,Male,No,Fri,Lunch,2
22.8,4.0,Male,Yes,Fri,Dinner,3
23.78,5.0,Female,No,Fri,Dinner,2
21.82,3.0,Female,No,Fri,Dinner,2
30.65,3.5,Female,No,Fri,Dinner,3
22.04,2.0,Male,No,Fri,Dinner,2
18.54,2.5,Female,No,Fri,Dinner,2
20.75,2.0,Female,No,Fri,Dinner,2
16.94,3.0,Female,No,Fri,Dinner,2
42.1,4.5,Female,No,Sat,Dinner,4
27.4,6.0,Male,No,Sat,Dinner,4
32.0,3.0,Male,No,Sat,Dinner,3
29.55,3.0,Female,No,Sat,Dinner,3
39.45,5.0,Female,No,Sat,Dinner,4
24.25,4.0,Female,No,Sat,Dinner,3
28.5,4.0,Male,No,Sat,Dinner,3
26.66,3.0,Male,No,Sat,Dinner,3
27.35,4.0,Female,No,Sat,Dinner,3
33.3,5.0,Female,No,Sat,Dinner,4
28.0,3.0,Male,No,Sat,Dinner,3
23.55,4.0,Male,No,Sat,Dinner,3
50.81,10.0,Male,Yes,Sat,Dinner,3
41.46,5.0,Female,No,Sat,Dinner,4
43.11,5.0,Female,Yes,Sat,Dinner,4
24.15,3.5,Female,No,Sat,Dinner,3
36.0,5.0,Female,No,Sat,Dinner,4
33.28,5.0,Female,No,Sat,Dinner,4
28.74,4.0,Female,No,Sat,Dinner,4
29.7,5.0,Male,No,Sat,Dinner,3
32.0,3.5,Female,No,Sat,Dinner,3
28.35,4.5,Female,No,Sat,Dinner,3
33.0,5.0,Female,No,Sat,Dinner,4
42.39,6.0,Male,No,Sat,Dinner,4
26.86,3.5,Female,No,Sat,Dinner,3
29.1,5.0,Male,No,Sat,Dinner,3
